deal_name,cik,accession,period_end,n_assets,period_chargeoff,period_recovery,period_net_loss,period_end_balance,cum_net_loss,original_pool_balance,cum_net_loss_rate
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-034,2024-06-30,17333,2248729.84,449745.97,1798983.87,266913405.98,48576329.56,833000000.0,0.058315
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-035,2024-07-31,16666,2011310.77,402262.15,1609048.61,253117976.61,50185378.18,833000000.0,0.060247
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-036,2024-08-31,16000,1761634.47,352326.89,1409307.58,239493958.72,51594685.75,833000000.0,0.061938
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-037,2024-09-30,15333,1564384.8,312876.96,1251507.84,226046538.5,52846193.59,833000000.0,0.063441
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-038,2024-10-31,14666,1363673.85,272734.77,1090939.08,212781300.56,53937132.67,833000000.0,0.06475
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-039,2024-11-30,14000,1184895.88,236979.18,947916.71,199704278.91,54885049.38,833000000.0,0.065888
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-040,2024-12-31,13333,1036011.29,207202.26,828809.03,186822017.25,55713858.41,833000000.0,0.066883
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-041,2025-01-31,12666,878318.18,175663.64,702654.54,174141640.95,56416512.96,833000000.0,0.067727
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-042,2025-02-28,12000,761033.92,152206.78,608827.13,161670943.82,57025340.09,833000000.0,0.068458
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-043,2025-03-31,11333,637253.35,127450.67,509802.68,149418493.5,57535142.77,833000000.0,0.06907
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-044,2025-04-30,10666,546019.08,109203.82,436815.27,137393761.21,57971958.04,833000000.0,0.069594
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-045,2025-05-31,10000,470843.5,94168.7,376674.8,125607283.22,58348632.84,833000000.0,0.070046
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-046,2025-06-30,9333,354265.9,70853.18,283412.72,114070864.76,58632045.56,833000000.0,0.070387
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-047,2025-07-31,8666,318548.78,63709.76,254839.03,102797841.53,58886884.58,833000000.0,0.070693
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-048,2025-08-31,7999,263731.32,52746.26,210985.06,91803421.29,59097869.64,833000000.0,0.070946
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-049,2025-09-30,7333,216322.98,43264.6,173058.39,81105139.55,59270928.03,833000000.0,0.071154
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-050,2025-10-31,6666,187467.19,37493.44,149973.75,70723482.59,59420901.77,833000000.0,0.071334
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-051,2025-11-30,6000,195794.34,39158.87,156635.47,60682764.7,59577537.25,833000000.0,0.071522
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-052,2025-12-31,5333,116952.41,23390.48,93561.93,51012408.4,59671099.18,833000000.0,0.071634
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-053,2026-01-31,4666,135860.0,27172.0,108688.0,41748896.56,59779787.18,833000000.0,0.071764
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-054,2026-02-28,3999,57972.91,11594.58,46378.33,32938921.98,59826165.51,833000000.0,0.07182
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-055,2026-03-31,3333,72550.71,14510.14,58040.57,24644860.52,59884206.08,833000000.0,0.07189
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-056,2026-04-30,2666,70650.21,14130.04,56520.17,16955320.64,59940726.25,833000000.0,0.071958
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-057,2026-05-31,2000,69223.8,13844.76,55379.04,10008923.51,59996105.28,833000000.0,0.072024
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-058,2026-06-30,2000,62880.2,12576.04,50304.16,4064886.05,60046409.44,833000000.0,0.072085
AmeriCredit Auto Receivables 2021-3 (subprime),0,sample-059,2026-07-31,2000,57063.87,11412.77,45651.1,0.0,60092060.54,833000000.0,0.072139
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-000,2022-06-30,40000,0.0,0.0,0.0,1819801144.61,0.0,1860000000.0,0.0
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-001,2022-07-31,39333,371055.85,74211.17,296844.68,1779806179.67,296844.68,1860000000.0,0.00016
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-002,2022-08-31,38666,442593.15,88518.63,354074.52,1740017559.81,650919.19,1860000000.0,0.00035
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-003,2022-09-30,38000,527360.75,105472.15,421888.6,1700437812.71,1072807.8,1860000000.0,0.000577
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-004,2022-10-31,37333,628161.4,125632.28,502529.12,1661069542.56,1575336.92,1860000000.0,0.000847
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-005,2022-11-30,36666,746293.88,149258.78,597035.11,1621915433.84,2172372.02,1860000000.0,0.001168
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-006,2022-12-31,36000,886762.84,177352.57,709410.27,1582978255.36,2881782.29,1860000000.0,0.001549
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-007,2023-01-31,35333,1052201.45,210440.29,841761.16,1544260864.45,3723543.45,1860000000.0,0.002002
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-008,2023-02-28,34666,1244012.83,248802.57,995210.26,1505766211.65,4718753.71,1860000000.0,0.002537
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-009,2023-03-31,34000,1470707.41,294141.48,1176565.93,1467497345.55,5895319.64,1860000000.0,0.00317
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-010,2023-04-30,33333,1729703.48,345940.7,1383762.79,1429457418.12,7279082.43,1860000000.0,0.003913
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-011,2023-05-31,32666,2031911.8,406382.36,1625529.44,1391649690.36,8904611.87,1860000000.0,0.004787
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-012,2023-06-30,32000,2377485.35,475497.07,1901988.28,1354077538.45,10806600.15,1860000000.0,0.00581
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-013,2023-07-31,31333,2766400.34,553280.07,2213120.27,1316744460.3,13019720.42,1860000000.0,0.007
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-014,2023-08-31,30666,3216921.38,643384.28,2573537.11,1279654082.73,15593257.52,1860000000.0,0.008383
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-015,2023-09-30,30000,3704082.28,740816.46,2963265.83,1242810169.12,18556523.35,1860000000.0,0.009977
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-016,2023-10-31,29333,4247664.82,849532.96,3398131.85,1206216627.83,21954655.2,1860000000.0,0.011804
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-017,2023-11-30,28666,4835946.82,967189.36,3868757.46,1169877521.21,25823412.66,1860000000.0,0.013884
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-018,2023-12-31,28000,5454996.5,1090999.3,4363997.2,1133797075.53,30187409.86,1860000000.0,0.01623
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-019,2024-01-31,27333,6098439.59,1219687.92,4878751.67,1097979691.69,35066161.53,1860000000.0,0.018853
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-020,2024-02-29,26666,6731764.76,1346352.95,5385411.81,1062429956.98,40451573.34,1860000000.0,0.021748
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-021,2024-03-31,26000,7349158.94,1469831.79,5879327.15,1027152657.98,46330900.5,1860000000.0,0.024909
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-022,2024-04-30,25333,7933026.73,1586605.35,6346421.38,992152794.62,52677321.88,1860000000.0,0.028321
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-023,2024-05-31,24666,8404216.12,1680843.22,6723372.89,957435595.7,59400694.77,1860000000.0,0.031936
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-024,2024-06-30,24000,8810435.86,1762087.17,7048348.69,923006536.02,66449043.46,1860000000.0,0.035725
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-025,2024-07-31,23333,9093345.8,1818669.16,7274676.64,888871355.28,73723720.1,1860000000.0,0.039636
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-026,2024-08-31,22666,9244198.7,1848839.74,7395358.96,855036079.02,81119079.05,1860000000.0,0.043612
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-027,2024-09-30,22000,9285122.76,1857024.55,7428098.2,821507041.91,88547177.26,1860000000.0,0.047606
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-028,2024-10-31,21333,9092102.97,1818420.59,7273682.37,788290913.78,95820859.63,1860000000.0,0.051517
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-029,2024-11-30,20666,8820572.56,1764114.51,7056458.04,755394728.61,102877317.68,1860000000.0,0.05531
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-030,2024-12-31,20000,8479318.37,1695863.67,6783454.7,722825917.24,109660772.37,1860000000.0,0.058957
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-031,2025-01-31,19333,7906882.3,1581376.46,6325505.84,690592344.11,115986278.21,1860000000.0,0.062358
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-032,2025-02-28,18666,7377270.6,1475454.12,5901816.48,658702348.91,121888094.69,1860000000.0,0.065531
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-033,2025-03-31,18000,6677988.62,1335597.72,5342390.9,627164793.88,127230485.59,1860000000.0,0.068403
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-034,2025-04-30,17333,6069383.83,1213876.77,4855507.06,595989117.78,132085992.65,1860000000.0,0.071014
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-035,2025-05-31,16666,5392571.06,1078514.21,4314056.85,565185397.94,136400049.5,1860000000.0,0.073333
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-036,2025-06-30,16000,4805061.0,961012.2,3844048.8,534764421.63,140244098.3,1860000000.0,0.0754
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-037,2025-07-31,15333,4285187.84,857037.57,3428150.27,504737769.04,143672248.57,1860000000.0,0.077243
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-038,2025-08-31,14666,3605784.19,721156.84,2884627.35,475117910.02,146556875.93,1860000000.0,0.078794
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-039,2025-09-30,14000,3231728.05,646345.61,2585382.44,445918317.86,149142258.36,1860000000.0,0.080184
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-040,2025-10-31,13333,2779357.27,555871.45,2223485.82,417153603.94,151365744.18,1860000000.0,0.081379
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-041,2025-11-30,12666,2339181.54,467836.31,1871345.23,388839678.48,153237089.41,1860000000.0,0.082386
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-042,2025-12-31,12000,1943526.23,388705.25,1554820.98,360993944.19,154791910.39,1860000000.0,0.083221
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-043,2026-01-31,11333,1730075.21,346015.04,1384060.17,333635531.71,156175970.56,1860000000.0,0.083966
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-044,2026-02-28,10666,1433766.98,286753.4,1147013.58,306785589.25,157322984.15,1860000000.0,0.084582
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-045,2026-03-31,10000,1254227.93,250845.59,1003382.34,280467643.21,158326366.49,1860000000.0,0.085122
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-046,2026-04-30,9333,1049363.67,209872.73,839490.94,254708053.37,159165857.43,1860000000.0,0.085573
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-047,2026-05-31,8666,980237.6,196047.52,784190.08,229536596.93,159950047.51,1860000000.0,0.085995
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-048,2026-06-30,7999,730168.86,146033.77,584135.09,204987231.22,160534182.6,1860000000.0,0.086309
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-049,2026-07-31,7333,564146.41,112829.28,451317.13,181099111.13,160985499.72,1860000000.0,0.086551
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-050,2026-08-31,6666,536695.0,107339.0,429356.0,157917980.32,161414855.73,1860000000.0,0.086782
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-051,2026-09-30,6000,454695.67,90939.13,363756.54,135498130.07,161778612.26,1860000000.0,0.086978
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-052,2026-10-31,5333,452975.6,90595.12,362380.48,113905257.65,162140992.74,1860000000.0,0.087173
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-053,2026-11-30,4666,361289.68,72257.94,289031.74,93220825.45,162430024.49,1860000000.0,0.087328
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-054,2026-12-31,3999,281786.81,56357.36,225429.45,73549093.5,162655453.93,1860000000.0,0.087449
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-055,2027-01-31,3333,307238.95,61447.79,245791.16,55029340.43,162901245.09,1860000000.0,0.087581
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-056,2027-02-28,2666,109420.94,21884.19,87536.75,37859419.43,162988781.85,1860000000.0,0.087628
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-057,2027-03-31,2000,113197.73,22639.55,90558.18,22348856.82,163079340.03,1860000000.0,0.087677
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-058,2027-04-30,2000,70617.66,14123.53,56494.13,9076456.25,163135834.16,1860000000.0,0.087707
AmeriCredit Auto Receivables 2022-2 (subprime),0,sample-059,2027-05-31,2000,82629.42,16525.88,66103.53,0.0,163201937.69,1860000000.0,0.087743
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-000,2023-02-28,40000,0.0,0.0,0.0,1340391165.65,0.0,1370000000.0,0.0
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-001,2023-03-31,39333,248823.24,49764.65,199058.59,1310932508.68,199058.59,1370000000.0,0.000145
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-002,2023-04-30,38666,297189.9,59437.98,237751.92,1281625837.07,436810.51,1370000000.0,0.000319
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-003,2023-05-31,38000,353967.71,70793.54,283174.17,1252473012.59,719984.68,1370000000.0,0.000526
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-004,2023-06-30,37333,420907.47,84181.49,336725.98,1223475953.39,1056710.66,1370000000.0,0.000771
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-005,2023-07-31,36666,499672.09,99934.42,399737.67,1194636636.76,1456448.33,1370000000.0,0.001063
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-006,2023-08-31,36000,594601.47,118920.29,475681.18,1165957102.06,1932129.51,1370000000.0,0.00141
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-007,2023-09-30,35333,704116.65,140823.33,563293.32,1137439453.92,2495422.83,1370000000.0,0.001821
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-008,2023-10-31,34666,833580.01,166716.0,666864.01,1109085865.57,3162286.83,1370000000.0,0.002308
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-009,2023-11-30,34000,984016.02,196803.2,787212.81,1080898582.47,3949499.65,1370000000.0,0.002883
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-010,2023-12-31,33333,1159747.77,231949.55,927798.21,1052879926.25,4877297.86,1370000000.0,0.00356
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-011,2024-01-31,32666,1364665.15,272933.03,1091732.12,1025032298.81,5969029.98,1370000000.0,0.004357
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-012,2024-02-29,32000,1595164.01,319032.8,1276131.21,997358186.92,7245161.19,1370000000.0,0.005288
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-013,2024-03-31,31333,1858100.05,371620.01,1486480.04,969860167.0,8731641.23,1370000000.0,0.006373
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-014,2024-04-30,30666,2151450.91,430290.18,1721160.73,942540910.4,10452801.96,1370000000.0,0.00763
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-015,2024-05-31,30000,2477380.37,495476.07,1981904.3,915403189.08,12434706.26,1370000000.0,0.009076
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-016,2024-06-30,29333,2843603.45,568720.69,2274882.76,888449881.79,14709589.02,1370000000.0,0.010737
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-017,2024-07-31,28666,3236607.48,647321.5,2589285.99,861683980.68,17298875.01,1370000000.0,0.012627
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-018,2024-08-31,28000,3664274.15,732854.83,2931419.32,835108598.64,20230294.32,1370000000.0,0.014767
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-019,2024-09-30,27333,4082191.74,816438.35,3265753.39,808726977.21,23496047.72,1370000000.0,0.01715
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-020,2024-10-31,26666,4521599.84,904319.97,3617279.88,782542495.2,27113327.59,1370000000.0,0.019791
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-021,2024-11-30,26000,4925014.11,985002.82,3940011.29,756558678.19,31053338.89,1370000000.0,0.022667
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-022,2024-12-31,25333,5302494.23,1060498.85,4241995.39,730779208.94,35295334.27,1370000000.0,0.025763
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-023,2025-01-31,24666,5641868.36,1128373.67,4513494.69,705207938.77,39808828.96,1370000000.0,0.029058
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-024,2025-02-28,24000,5916612.7,1183322.54,4733290.16,679848900.19,44542119.12,1370000000.0,0.032512
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-025,2025-03-31,23333,6159485.67,1231897.13,4927588.53,654706320.82,49469707.66,1370000000.0,0.036109
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-026,2025-04-30,22666,6206627.12,1241325.42,4965301.7,629784638.84,54435009.36,1370000000.0,0.039734
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-027,2025-05-31,22000,6240542.76,1248108.55,4992434.21,605088520.12,59427443.56,1370000000.0,0.043378
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-028,2025-06-30,21333,6102174.55,1220434.91,4881739.64,580622877.35,64309183.2,1370000000.0,0.046941
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-029,2025-07-31,20666,5953775.47,1190755.09,4763020.38,556392891.5,69072203.58,1370000000.0,0.050418
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-030,2025-08-31,20000,5667721.35,1133544.27,4534177.08,532404035.82,73606380.66,1370000000.0,0.053727
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-031,2025-09-30,19333,5313100.33,1062620.07,4250480.26,508662102.92,77856860.92,1370000000.0,0.05683
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-032,2025-10-31,18666,4928138.72,985627.74,3942510.98,485173235.49,81799371.9,1370000000.0,0.059708
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-033,2025-11-30,18000,4490607.87,898121.57,3592486.3,461943961.08,85391858.19,1370000000.0,0.06233
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-034,2025-12-31,17333,4095194.01,819038.8,3276155.2,438981231.92,88668013.4,1370000000.0,0.064721
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-035,2026-01-31,16666,3637060.37,727412.07,2909648.29,416292470.53,91577661.69,1370000000.0,0.066845
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-036,2026-02-28,16000,3194798.74,638959.75,2555838.99,393885622.39,94133500.68,1370000000.0,0.068711
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-037,2026-03-31,15333,2799592.82,559918.56,2239674.26,371769216.98,96373174.94,1370000000.0,0.070345
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-038,2026-04-30,14666,2488941.43,497788.29,1991153.14,349952439.1,98364328.09,1370000000.0,0.071799
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-039,2026-05-31,14000,2211982.91,442396.58,1769586.33,328445212.62,100133914.41,1370000000.0,0.07309
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-040,2026-06-30,13333,1863069.46,372613.89,1490455.57,307258299.67,101624369.98,1370000000.0,0.074178
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-041,2026-07-31,12666,1588897.53,317779.51,1271118.02,286403419.1,102895488.01,1370000000.0,0.075106
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-042,2026-08-31,12000,1372736.32,274547.26,1098189.06,265893389.0,103993677.07,1370000000.0,0.075908
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-043,2026-09-30,11333,1210853.48,242170.7,968682.78,245742300.24,104962359.85,1370000000.0,0.076615
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-044,2026-10-31,10666,993366.93,198673.39,794693.54,225965729.72,105757053.39,1370000000.0,0.077195
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-045,2026-11-30,10000,817417.34,163483.47,653933.87,206581006.02,106410987.26,1370000000.0,0.077672
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-046,2026-12-31,9333,748762.1,149752.42,599009.68,187607544.68,107009996.94,1370000000.0,0.078109
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-047,2027-01-31,8666,611518.32,122303.66,489214.66,169067278.39,107499211.59,1370000000.0,0.078467
